"normal","gamma","binom"
0.94987987076453,3.71248157056313,5
-0.82846462327979,1.3608642526275,5
0.852663639235888,0.602539229306562,5
0.983227615653307,0.48393786204565,7
-1.35769640212256,0.130948039795692,5
0.362335464598332,0.239389956740367,2
3.22276084498621,5.17735934429653,5
0.377880037127948,0.615657002169285,3
-0.907515037120091,0.792391906129734,4
1.11865001025834,1.4942493741862,3
-2.23528043672298,3.86051949045883,1
0.436477305458568,2.82510451210044,3
2.17999673954116,0.435995263817165,2
0.323707244479628,1.8883205377706,6
-2.58513626725545,1.45623238483204,6
0.228065785219675,2.85955203400955,3
-1.41760107746719,1.25295194730817,4
-0.430653167570521,0.256411756321943,3
-0.855770141156619,5.64662957789066,6
1.24777296034993,1.1330030897928,3
-0.471474323947588,0.442097791276468,7
0.833533620278909,1.04135097623714,4
-0.253244728550982,1.60041739673516,6
1.64645640154775,1.01237381215091,4
-1.86619829061902,3.06380827910238,4
1.22103307209918,5.82978765109065,4
-1.56780466267245,2.47290439184208,6
-0.488490464282229,3.01226887685856,6
-0.653234226449273,0.867618100640379,2
-0.683307858141751,5.55190763936581,3
1.16781173618541,3.69869426695053,3
0.645053827513441,1.9203972794976,5
-2.10579612258423,5.38480926799522,5
-0.0653236663221208,1.17337577173682,4
2.17384735908502,1.35569437638871,5
-1.91260983445532,1.60386369072977,4
1.98594230549365,0.3851379233145,5
1.22545473530844,4.82317374375668,3
-0.780451711413423,2.69444294217901,4
1.47290789038255,2.58193050424653,3
-0.633972730765044,0.357861771349828,4
0.187937446791947,0.138020815214647,2
-0.203885661360489,4.53692838462189,4
1.65552132084583,1.00017998431305,3
-0.115775262137484,2.61462429036053,3
0.124271783191606,2.52586444284275,5
-1.55555846252128,0.678959302407812,2
-1.00616676288433,2.15388243052608,5
2.59908689998217,2.29533077911414,3
1.22987915498972,1.95933279349034,3
1.98852889251681,2.82073699151347,7
0.302530579807427,1.62148972142105,5
-0.652294632552466,3.82158703932291,5
-1.83141951469865,3.83615988130475,2
-0.895736570283274,1.00782765219183,3
0.333116135067893,0.945958901368667,2
1.2719964019199,1.26233533441576,4
0.132839181011575,3.56737238732153,2
0.0874894180222674,0.404141933887992,2
-0.0302180581844308,2.21491831069911,4
-0.244263672917569,1.37877348232792,3
0.788882161764104,1.43510126183216,2
0.30084493710024,2.76225793129549,5
0.829902636380983,0.833589173761053,2
-0.294376636693514,1.41157638691444,4
1.80159573253596,0.872398528820761,5
0.0252485682123003,1.50571883396975,3
-1.28843551545655,1.29665418710274,5
-0.987239656116193,0.697989096870454,4
0.579890043839697,1.08805862979317,5
-0.136012664749644,3.68685027350683,3
0.231079730541401,3.93584407583453,3
-0.0263455367384899,0.7829962131846,2
1.04324312617871,1.74377902368616,6
0.811689637249643,3.59383766645795,1
0.327468572559756,4.01661047361479,6
-0.829630878939965,1.24162677881082,6
0.378208004561686,0.706915153488891,5
-1.14873284481922,0.661268174550657,2
-0.763030956352959,0.529113486990248,2
-0.00395357695624683,1.17839306260815,1
1.50338237350596,0.293659993339394,5
0.958338700300897,1.94566805580585,5
0.0517519902922467,1.00413555592072,5
-0.292398531852279,1.97762666227143,2
-0.240263754612428,1.79211891952528,3
0.616392459294451,0.310747363589576,2
-0.885566090540522,3.25355455859465,6
0.668464068589001,2.73979417975764,5
1.60207572108346,1.6814259012677,5
0.634740340087729,3.2699533017293,2
0.429583885133674,2.23029097871367,2
-1.91208592639312,3.91781463856052,2
-0.144273565630324,2.21086065572493,4
-1.56441050912562,0.591745781170995,4
-0.49550083302667,3.30978412791195,4
1.14212630345302,2.50016653093888,4
1.29714351035376,1.15936262067575,3
0.544845492316313,0.291883421942616,2
-0.0267639229103874,2.14561217430333,5
1.22975765911706,0.485834642788644,4
-2.06798204583807,3.69316108717361,4
0.13246738545407,1.85206014697439,5
-1.82025806297352,6.07038083114119,5
-1.66727573794625,1.21193849097812,6
1.45517598387438,0.922413532765655,4
0.812658350207557,2.92822786856918,3
0.978473698451313,2.55840870799598,3
0.0538652381594666,1.02192545574744,0
-0.712143104523302,2.07606280979975,6
0.135269932513455,3.04659032159132,2
0.600141175601711,0.256109354178408,2
0.989022590395647,0.911466227366956,2
0.63786453304301,1.44938458278644,4
-0.372200085866746,1.30816590754388,5
-1.40758833043816,0.408736188790399,2
-0.525780843584352,5.09124287200144,4
0.368932233689822,0.124943076540133,7
-1.70452148245104,0.537494980897108,7
-0.485812306722297,0.382190850508504,4
-0.658716992736017,0.752767082163198,5
